fa_jahr;gnr;gname;mwb_bj3_bj5;mStf;ordSt;nachSt;persSt;grstSt;handSt;erbSt;motfSt;konz;nve_mit;korr;rp_total;rp_pEinw;ri;MA;fehlRess;hFA_absch;bs_ra_proz;bs_ra_fr;ra
2020;1001;Doppleschwand;760.5;2.4;1025020.1284;0;9733.3333333;59641.6;27484.483333;16125.583333;26125.333333;15672.078333;43084.32;0;1222886.8601;1608.0037608;48.208043835;86.4;968810;0;0;0;968810
2020;1002;Entlebuch;3345.3333333;2.2329740138;5970576.6048;63723.083333;46400;131258.75;95533.866667;109534.01667;160264.66667;84640.586667;0;0;6661931.5748;1991.410395;59.702596448;86.4;2979038;0;0;0;2979038
2020;1010;Escholzmatt-Marbach;4341.5;2.1652470069;6731908.0899;16064.75;60033.333333;185353.2;142821.65;83097.08;263220.33333;148274.72167;81630.541667;0;7712403.6999;1776.4375676;53.257698906;86.4;4799434;0;1.17;168865;4968299
2020;1004;Flühli;1912.3333333;2.195871619;2942021.5974;16476.883333;23251.116667;269489.65;150256.18333;8953.3666667;219523.33333;106995.10333;233456.22667;0;3970423.4608;2076.219345;62.245173573;86.4;1540760;0;0;0;1540760
2020;1005;Hasle;1753;2.464451591;2457936.6348;12722.833333;24716.666667;116075.26667;58952.25;19770.833333;101922.33333;50973.06;40098.443333;0;2883168.3215;1644.7052604;49.308356873;86.4;2168830;0;0;0;2168830
2020;1007;Romoos;669.83333333;2.1310722451;723464.63648;57.933333333;9233.3333333;23893.566667;11788.15;1301.55;76201.333333;26374.573333;45801.136667;0;918116.21315;1370.6636673;41.092574388;86.4;1012287;0;0;0;1012287
2020;1008;Schüpfheim;4162.6666667;2.2317012596;7249773.7984;45799.65;57950;287702.91667;210367.38333;56864.533333;144208.33333;107119.66;115765.41333;0;8275551.6884;1988.0409245;59.601579531;86.4;3720903;0;0;0;3720903
2020;1009;Werthenstein;2053;2.4;3852169.2966;11075.05;27325;292730.58333;218848.13333;19752.716667;65720.666667;77751.421667;102327.49;0;4667700.3583;2273.5997849;68.162650341;86.4;1248873;0;0;0;1248873
2020;1021;Aesch;1119;2.0958045247;3186599.1218;18389.516667;17130.733333;153868;102908.51667;13917.533333;30361.333333;30505.805;6939.1833333;0;3560619.7434;3181.9658118;95.395515284;86.4;0;99014;0;0;0
2020;1022;Altwis;417;2.6;838133.13085;68132.466667;5099.55;10894.2;4832.5;2454.8333333;12842;10514.518333;30007.77;0;982910.96919;2357.1006455;70.666010874;86.4;218848;0;0;0;218848
