"jahr";"gnr";"gemeinde";"partei";"partei_kurz";"sex";"kand_status";"gewaehlt";"stand";"record_id"
"2020";"1001";"Doppleschwand";"SVP";"SVP";"m";"neu";"ja";"Nach 1. und 2. Wahlgang";1
"2020";"1001";"Doppleschwand";"CVP";"CVP";"m";"bisher";"ja";"Nach 1. und 2. Wahlgang";2
"2020";"1001";"Doppleschwand";"CVP";"CVP";"f";"bisher";"ja";"Nach 1. und 2. Wahlgang";3
"2020";"1002";"Entlebuch";"SVP";"SVP";"f";"neu";"ja";"Nach 1. und 2. Wahlgang";4
"2020";"1002";"Entlebuch";"Freie Wählergruppe (parteilos)";"Andere";"m";"bisher";"ja";"Nach 1. und 2. Wahlgang";5
"2020";"1002";"Entlebuch";"CVP";"CVP";"f";"neu";"ja";"Nach 1. und 2. Wahlgang";6
"2020";"1002";"Entlebuch";"FDP";"FDP";"f";"bisher";"ja";"Nach 1. und 2. Wahlgang";7
"2020";"1002";"Entlebuch";"CVP";"CVP";"m";"bisher";"ja";"Nach 1. und 2. Wahlgang";8
"2020";"1004";"Flühli";"SVP";"SVP";"m";"neu";"nein";"Nach 1. und 2. Wahlgang";9
"2020";"1004";"Flühli";"FDP";"FDP";"f";"neu";"ja";"Nach 1. und 2. Wahlgang";10
"2020";"1004";"Flühli";"CVP";"CVP";"m";"bisher";"ja";"Nach 1. und 2. Wahlgang";11
"2020";"1004";"Flühli";"-";"parteilos";"m";"neu";"ja";"Nach 1. und 2. Wahlgang";12
"2020";"1004";"Flühli";"CVP";"CVP";"f";"neu";"ja";"Nach 1. und 2. Wahlgang";13
"2020";"1004";"Flühli";"SVP";"SVP";"f";"bisher";"ja";"Nach 1. und 2. Wahlgang";14
"2020";"1005";"Hasle";"SVP";"SVP";"m";"bisher";"ja";"Nach 1. und 2. Wahlgang";15
"2020";"1005";"Hasle";"SVP";"SVP";"m";"bisher";"ja";"Nach 1. und 2. Wahlgang";16
"2020";"1005";"Hasle";"CVP";"CVP";"f";"bisher";"ja";"Nach 1. und 2. Wahlgang";17
"2020";"1005";"Hasle";"CVP";"CVP";"m";"bisher";"ja";"Nach 1. und 2. Wahlgang";18
"2020";"1005";"Hasle";"CVP";"CVP";"f";"neu";"ja";"Nach 1. und 2. Wahlgang";19
"2020";"1007";"Romoos";"FDP";"FDP";"f";"neu";"ja";"Nach 1. und 2. Wahlgang";20
"2020";"1007";"Romoos";"CVP";"CVP";"m";"bisher";"ja";"Nach 1. und 2. Wahlgang";21
"2020";"1007";"Romoos";"CVP";"CVP";"f";"bisher";"ja";"Nach 1. und 2. Wahlgang";22
