station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0;rreetsd0;tso005d0;tso010d0;tso020d0
LUZ;13.07.1880 00:00;17.1;;;;;;;;970.6;;;;;;;;;;;;2.6;;;;;;;;;;;;;;;;;;
LUZ;14.07.1880 00:00;18.3;;;;;;;;968.9;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
LUZ;15.07.1880 00:00;20.9;;;;;;;;968.4;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
LUZ;16.07.1880 00:00;22.9;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
LUZ;17.07.1880 00:00;23.8;;;;;;;;968.3;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
LUZ;18.07.1880 00:00;22.7;;;;;;;;969.4;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
LUZ;19.07.1880 00:00;23.3;;;;;;;;970.3;;;;;;;;;;;;2.3;;;;;;;;;;;;;;;;;;
LUZ;20.07.1880 00:00;21.7;;;;;;;;970.5;;;;;;;;;;;;25.7;;;;;;;;;;;;;;;;;;
LUZ;21.07.1880 00:00;19.5;;;;;;;;968.3;;;;;;;;;;;;22.4;;;;;;;;;;;;;;;;;;
LUZ;22.07.1880 00:00;18;;;;;;;;965.2;;;;;;;;;;;;1.6;;;;;;;;;;;;;;;;;;
LUZ;23.07.1880 00:00;17.5;;;;;;;;967.1;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
LUZ;24.07.1880 00:00;18.8;;;;;;;;966.4;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
LUZ;25.07.1880 00:00;20.5;;;;;;;;966.6;;;;;;;;;;;;1.5;;;;;;;;;;;;;;;;;;
LUZ;26.07.1880 00:00;21;;;;;;;;962.2;;;;;;;;;;;;1.9;;;;;;;;;;;;;;;;;;
