"periode","gebiet","kennzahl","anzahl"
"2010-2012","Aargau","Pendler nach Zug",4905
"2010-2012","Aargau","Pendler von Zug",1471
"2010-2012","Luzern","Pendler nach Zug",11251
"2010-2012","Luzern","Pendler von Zug",4925
"2010-2012","Restliche Schweiz","Pendler nach Zug",4576
"2010-2012","Restliche Schweiz","Pendler von Zug",2272
"2010-2012","Schwyz","Pendler nach Zug",5492
"2010-2012","Schwyz","Pendler von Zug",1317
"2010-2012","Zürich","Pendler nach Zug",9762
"2010-2012","Zürich","Pendler von Zug",9438
"2013-2015","Aargau","Pendler nach Zug",5661
"2013-2015","Aargau","Pendler von Zug",1364
"2013-2015","Luzern","Pendler nach Zug",12681
"2013-2015","Luzern","Pendler von Zug",6021
"2013-2015","Restliche Schweiz","Pendler nach Zug",4806
"2013-2015","Restliche Schweiz","Pendler von Zug",2052
"2013-2015","Schwyz","Pendler nach Zug",5932
"2013-2015","Schwyz","Pendler von Zug",1607
"2013-2015","Zürich","Pendler nach Zug",10794
"2013-2015","Zürich","Pendler von Zug",10514
"2016-2018","Aargau","Pendler nach Zug",5515
"2016-2018","Aargau","Pendler von Zug",1323
"2016-2018","Luzern","Pendler nach Zug",12481
"2016-2018","Luzern","Pendler von Zug",5849
"2016-2018","Restliche Schweiz","Pendler nach Zug",4561
"2016-2018","Restliche Schweiz","Pendler von Zug",2156
"2016-2018","Schwyz","Pendler nach Zug",6007
"2016-2018","Schwyz","Pendler von Zug",1899
"2016-2018","Zürich","Pendler nach Zug",12693
"2016-2018","Zürich","Pendler von Zug",10569
"2019-2021","Aargau","Pendler nach Zug",5693
"2019-2021","Aargau","Pendler von Zug",1390
"2019-2021","Luzern","Pendler nach Zug",11650
"2019-2021","Luzern","Pendler von Zug",5164
"2019-2021","Restliche Schweiz","Pendler nach Zug",2840
"2019-2021","Restliche Schweiz","Pendler von Zug",1603
"2019-2021","Schwyz","Pendler nach Zug",6047
"2019-2021","Schwyz","Pendler von Zug",1734
"2019-2021","Zürich","Pendler nach Zug",11905
"2019-2021","Zürich","Pendler von Zug",9893
"2022-2024","Aargau","Pendler nach Zug",6399
"2022-2024","Aargau","Pendler von Zug",1376
"2022-2024","Luzern","Pendler nach Zug",12376
"2022-2024","Luzern","Pendler von Zug",5136
"2022-2024","Restliche Schweiz","Pendler nach Zug",3177
"2022-2024","Restliche Schweiz","Pendler von Zug",1667
"2022-2024","Schwyz","Pendler nach Zug",6196
"2022-2024","Schwyz","Pendler von Zug",1959
"2022-2024","Zürich","Pendler nach Zug",14910
"2022-2024","Zürich","Pendler von Zug",10189
