STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,SSV_SWISS_CITY,Schweizer Städte,SSV_CLASS_CITY,Gemeindegrössenklasse (Einwohner),NOGA_SECTION,Abschnitte NOGA 2008,OBS_VALUE,Observation value,OBS_STATUS,Observation Status,PERIOD,Time Period,EMBARGO_DATE,Date of publication,LAST_UPDATE,Update date,DB_STATE,State of the database,REGION_REF,Spatial reference,REGION_STATE,Date of spatial reference,DATASET_COMMENT,Bemerkungen,UNIT_MEASURE,Type of units of measurement,DECIMALS,Decimals
DATAFLOW,CH1.SSV:DF_SSV_LABMAR_01(2026.1.0),"Statistik der Schweizer Städte 2026, Anteil der Beschäftigten nach Wirtschaftsabschnitt",I,2,Affoltern am Albis,2,10 000-14 999,K,FINANCIAL AND INSURANCE ACTIVITIES,2.515633883,,A,Normal value,31.12.2023,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quellen: BFS - Statistik der Unternehmensstruktur (STATENT)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizer Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb.",PT,Percent,1,One
DATAFLOW,CH1.SSV:DF_SSV_LABMAR_01(2026.1.0),"Statistik der Schweizer Städte 2026, Anteil der Beschäftigten nach Wirtschaftsabschnitt",I,53,Bülach,4,20 000-49 999,C,MANUFACTURING,11.89165574,,A,Normal value,31.12.2023,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quellen: BFS - Statistik der Unternehmensstruktur (STATENT)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizer Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb.",PT,Percent,1,One
DATAFLOW,CH1.SSV:DF_SSV_LABMAR_01(2026.1.0),"Statistik der Schweizer Städte 2026, Anteil der Beschäftigten nach Wirtschaftsabschnitt",I,53,Bülach,4,20 000-49 999,L,REAL ESTATE ACTIVITIES,1.31061599,,A,Normal value,31.12.2023,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quellen: BFS - Statistik der Unternehmensstruktur (STATENT)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizer Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb.",PT,Percent,1,One
DATAFLOW,CH1.SSV:DF_SSV_LABMAR_01(2026.1.0),"Statistik der Schweizer Städte 2026, Anteil der Beschäftigten nach Wirtschaftsabschnitt",I,62,Kloten,4,20 000-49 999,A,"AGRICULTURE, FORESTRY AND FISHING",0.12711966,,A,Normal value,31.12.2023,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quellen: BFS - Statistik der Unternehmensstruktur (STATENT)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizer Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb.",PT,Percent,1,One
DATAFLOW,CH1.SSV:DF_SSV_LABMAR_01(2026.1.0),"Statistik der Schweizer Städte 2026, Anteil der Beschäftigten nach Wirtschaftsabschnitt",I,62,Kloten,4,20 000-49 999,B,MINING AND QUARRYING,0,,A,Normal value,31.12.2023,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quellen: BFS - Statistik der Unternehmensstruktur (STATENT)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizer Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb.",PT,Percent,1,One
DATAFLOW,CH1.SSV:DF_SSV_LABMAR_01(2026.1.0),"Statistik der Schweizer Städte 2026, Anteil der Beschäftigten nach Wirtschaftsabschnitt",I,62,Kloten,4,20 000-49 999,S,OTHER SERVICE ACTIVITIES,1.319166287,,A,Normal value,31.12.2023,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quellen: BFS - Statistik der Unternehmensstruktur (STATENT)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizer Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb.",PT,Percent,1,One
DATAFLOW,CH1.SSV:DF_SSV_LABMAR_01(2026.1.0),"Statistik der Schweizer Städte 2026, Anteil der Beschäftigten nach Wirtschaftsabschnitt",I,66,Opfikon,4,20 000-49 999,Q,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3.650009876,,A,Normal value,31.12.2023,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quellen: BFS - Statistik der Unternehmensstruktur (STATENT)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizer Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb.",PT,Percent,1,One
DATAFLOW,CH1.SSV:DF_SSV_LABMAR_01(2026.1.0),"Statistik der Schweizer Städte 2026, Anteil der Beschäftigten nach Wirtschaftsabschnitt",I,69,Wallisellen,3,15 000-19 999,Q,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,5.889933655,,A,Normal value,31.12.2023,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quellen: BFS - Statistik der Unternehmensstruktur (STATENT)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizer Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb.",PT,Percent,1,One
DATAFLOW,CH1.SSV:DF_SSV_LABMAR_01(2026.1.0),"Statistik der Schweizer Städte 2026, Anteil der Beschäftigten nach Wirtschaftsabschnitt",I,69,Wallisellen,3,15 000-19 999,R,"ARTS, ENTERTAINMENT AND RECREATION",0.792324949,,A,Normal value,31.12.2023,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quellen: BFS - Statistik der Unternehmensstruktur (STATENT)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizer Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb.",PT,Percent,1,One
DATAFLOW,CH1.SSV:DF_SSV_LABMAR_01(2026.1.0),"Statistik der Schweizer Städte 2026, Anteil der Beschäftigten nach Wirtschaftsabschnitt",I,96,Regensdorf,3,15 000-19 999,_T,Total,10396,,A,Normal value,31.12.2023,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quellen: BFS - Statistik der Unternehmensstruktur (STATENT)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizer Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb.",PS,Persons,0,Zero
